"Lat"	"NS"	"Long"	"EW"	"Elev"	"Precip"
"ankarif"	16.32	"S"	46.82	"E"	85	1400
"banyong"	5	"N"	9.17	"E"	420	2600
"beza1"	23.63	"S"	44.57	"E"	150	600
"beza2"	23.63	"S"	44.57	"E"	175	600
"brisefer"	20.38	"S"	57.43	"E"	550	2400
"korup"	5.73	"N"	8.7	"E"	100	5460
"makokou1"	0.57	"N"	12.87	"E"	480	1755
"makokou2"	0.57	"N"	12.87	"E"	480	1755
"mtcam"	4.8	"N"	9	"E"	225	8000
"ndakani"	2.37	"N"	16.15	"E"	390	1400
"ndakanni"	2.37	"N"	16.32	"E"	400	1400
"nosymang"	15.5	"S"	49.77	"E"	275	3500
"omofor"	7	"N"	5	"E"	150	1800
"perinet"	18.92	"S"	48.42	"E"	980	1200
"pugu"	6.83	"S"	39.8	"E"	175	1236
"allacher"	48.7	"N"	11.5	"E"	530	866
"liesjvar"	60.67	"N"	23.92	"E"	50	600
"ruissalo"	60.53	"N"	22.47	"E"	20	500
"suderhac"	54.6	"N"	9.28	"E"	20	695
"uppsala"	59.85	"N"	17.63	"E"	20	500
"benito"	15.33	"N"	92.25	"W"	2100	1500
"bosquede"	19.5	"N"	96.95	"W"	1200	1514
"carara"	9.77	"N"	84.53	"W"	130	3500
"cerroelp"	13	"N"	85.92	"W"	1420	2000
"cerroolu"	12.3	"N"	85.4	"W"	840	2000
"curundu"	8.98	"N"	79.55	"W"	20	1830
"chamela1"	19.5	"N"	105.5	"W"	297	748
"chamela2"	19.5	"N"	105.5	"W"	279	748
"chamela3"	19.5	"N"	105.5	"W"	297	748
"laselva"	10.43	"N"	84.2	"W"	100	4000
"lasjoyas"	19.58	"N"	104.13	"W"	1950	1000
"luquillo"	18.18	"N"	65.83	"W"	300	3500
"madden"	9.1	"N"	79.6	"W"	50	2433
"magsasay"	10.4	"N"	84.5	"W"	150	3884
"mogote"	18.42	"N"	66.25	"W"	50	1500
"motozint"	15.33	"N"	92.2	"W"	1600	500
"osasiren"	8.5	"N"	83.92	"W"	30	3800
"pipeline"	9.17	"N"	79.75	"W"	300	3000
"providen"	13.35	"N"	81.37	"W"	230	2500
"quinceoc"	19.73	"N"	104.25	"W"	1800	1000
"ranchoqu"	8.7	"N"	83.55	"W"	300	3125
"roundslo"	17.33	"N"	77.42	"W"	150	1200
"roundtop"	17.33	"N"	77.42	"W"	300	1200
"sierraro"	22.83	"S"	83	"W"	380	2200
"tuxtlas"	18.58	"N"	95.13	"W"	185	4953
"allpahua"	3.95	"S"	73.42	"W"	155	3100
"alterdoc"	2.5	"S"	54.97	"W"	50	2000
"altodemi"	10.92	"N"	73.83	"W"	1180	2500
"altosapa"	7.17	"N"	75.9	"W"	2660	4500
"amotape"	4.15	"S"	80.62	"W"	820	NA
"anchicay"	3.75	"N"	76.83	"W"	300	3100
"antado"	7.25	"N"	75.92	"W"	1560	4500
"araracua"	0.42	"S"	72.33	"W"	200	3250
"belem"	1.5	"S"	47.98	"W"	20	2760
"berbicer"	5.5	"N"	58.8	"W"	160	2200
"bilsa"	0.62	"N"	79.85	"W"	280	2500
"blohmr"	8.57	"N"	67.58	"W"	100	1400
"boraceia"	23.38	"S"	46	"W"	800	3500
"cabezade"	10.33	"S"	75.3	"W"	320	4000
"calima"	3.92	"N"	77	"W"	100	7470
"camorin"	22.93	"S"	43.37	"W"	200	1500
"campano"	11.13	"N"	74.2	"W"	1685	1250
"candamo"	13.5	"S"	69.83	"W"	790	6760
"capeira"	2	"S"	79.97	"W"	50	804
"carajas"	5.5	"S"	51	"W"	620	1850
"carlosbo"	24.25	"S"	46.93	"W"	555	3100
"carpanta"	4.58	"N"	73.67	"W"	2900	3000
"cedral"	4.75	"N"	75.55	"W"	2140	3000
"centinel"	0.58	"S"	79.33	"W"	725	4500
"ceroneb1"	0.83	"N"	66.18	"W"	140	3000
"ceroneb2"	0.83	"N"	66.18	"W"	140	3000
"cerroayp"	4.58	"S"	79.53	"W"	2770	1800
"cerroesp"	10.47	"N"	72.83	"W"	2260	1750
"cochacas"	11.85	"S"	71.32	"W"	380	2000
"colorado"	9.97	"N"	75.17	"W"	225	1000
"colosoi"	9.5	"N"	75.8	"W"	300	1000
"constanc"	4.25	"S"	72.75	"W"	160	3100
"cuangos"	3.48	"S"	78.23	"W"	1550	2500
"cueva"	11.8	"N"	73.47	"W"	350	2000
"cuevas"	6.67	"N"	76.5	"W"	1670	4000
"curuyuqr"	18.75	"S"	62.3	"W"	350	450
"cutervo"	6.17	"S"	78.67	"W"	2225	1400
"cuyas"	4.53	"S"	79.73	"W"	2410	700
"cuzcoama"	12.58	"S"	69.15	"W"	200	2350
"ducke"	3	"S"	59.97	"W"	80	2200
"encanto"	14.63	"S"	60.7	"W"	280	1700
"esmerald"	0.9	"N"	79.62	"W"	150	1750
"farall"	3.5	"N"	76.58	"W"	1930	1500
"fincam"	2.27	"N"	76.2	"W"	2287.5	2290
"galeraz"	10.8	"N"	75.25	"W"	10	500
"huamani"	0.67	"S"	77.67	"W"	1150	3500
"humboldt"	8.83	"S"	75	"W"	270	2500
"chaquima"	14.57	"S"	68.47	"W"	1000	1600
"chirinos"	5.42	"S"	78.88	"W"	1780	1400
"incahuar"	15.92	"S"	67.58	"W"	1540	3500
"indiana"	3.52	"S"	73.7	"W"	130	3100
"jatunsac"	1.7	"S"	77.6	"W"	450	4100
"jauneche"	1.1	"S"	79.63	"W"	75	1855
"jejuimi"	24.13	"S"	55.53	"W"	150	1800
"jenarohe"	4.92	"S"	73.75	"W"	130	2520
"kennedy"	11.8	"N"	74.2	"W"	2600	1000
"lagenoa"	11.8	"S"	75.42	"W"	1140	2000
"laplanad"	1.13	"N"	77.97	"W"	1800	4300
"laraya"	8.33	"N"	74.92	"W"	65	3000
"linhares"	19.3	"S"	40.7	"W"	45	1400
"madidi"	13.58	"S"	68.77	"W"	280	3000
"madidiri"	13.58	"S"	68.77	"W"	370	3000
