"Dataset","Site","Leaf ID","Family","Genus","Species","Individual ID","Vein density (mm-1)"
"Temperate (Colorado, USA)","Almont","060210-1","Asteraceae","Balsamorhiza","sagittata",1,11.67105092
"Temperate (Colorado, USA)","Almont","060210-2","Asteraceae","Balsamorhiza","sagittata",1,10.48004028
"Temperate (Colorado, USA)","Almont","060210-3","Asteraceae","Balsamorhiza","sagittata",1,10.25098192
"Temperate (Colorado, USA)","Almont","060210-4","Asteraceae","Balsamorhiza","sagittata",2,4.703490546
"Temperate (Colorado, USA)","Almont","060210-5","Asteraceae","Balsamorhiza","sagittata",2,8.634795093
"Temperate (Colorado, USA)","Almont","060210-6","Asteraceae","Balsamorhiza","sagittata",2,10.56238515
"Temperate (Colorado, USA)","Almont","060210-7","Asteraceae","Balsamorhiza","sagittata",3,10.50695632
"Temperate (Colorado, USA)","Almont","060210-8","Asteraceae","Balsamorhiza","sagittata",3,16.15404626
"Temperate (Colorado, USA)","Almont","060210-9","Asteraceae","Balsamorhiza","sagittata",3,11.6128475
"Temperate (Colorado, USA)","Almont","060210-10","Asteraceae","Artemisia","tridentata",1,15.24724855
"Temperate (Colorado, USA)","Almont","060210-11","Asteraceae","Artemisia","tridentata",1,7.416924428
"Temperate (Colorado, USA)","Almont","060210-13","Asteraceae","Artemisia","tridentata",2,10.73936064
"Temperate (Colorado, USA)","Almont","060210-14","Asteraceae","Artemisia","tridentata",2,8.803660684
"Temperate (Colorado, USA)","Almont","060210-15","Asteraceae","Artemisia","tridentata",2,6.578663389
"Temperate (Colorado, USA)","Almont","060210-16","Asteraceae","Artemisia","tridentata",3,11.17076049
"Temperate (Colorado, USA)","Almont","060210-17","Asteraceae","Artemisia","tridentata",3,12.78100825
"Temperate (Colorado, USA)","Almont","060210-18","Asteraceae","Artemisia","tridentata",3,10.81915973
"Temperate (Colorado, USA)","Almont","060210-28","Asteraceae","Psilochenia","occidentalis",1,8.471542163
"Temperate (Colorado, USA)","Almont","060210-29","Asteraceae","Psilochenia","occidentalis",1,8.520712556
"Temperate (Colorado, USA)","Almont","060210-30","Asteraceae","Psilochenia","occidentalis",1,7.408766731
"Temperate (Colorado, USA)","Almont","060210-31","Asteraceae","Psilochenia","occidentalis",2,6.872984738
"Temperate (Colorado, USA)","Almont","060210-32","Asteraceae","Psilochenia","occidentalis",2,8.453892488
"Temperate (Colorado, USA)","Almont","060210-33","Asteraceae","Psilochenia","occidentalis",2,7.493103913
"Temperate (Colorado, USA)","Almont","060210-34","Asteraceae","Psilochenia","occidentalis",3,12.03216852
"Temperate (Colorado, USA)","Almont","060210-35","Asteraceae","Psilochenia","occidentalis",3,9.0148427
"Temperate (Colorado, USA)","Almont","060210-36","Asteraceae","Psilochenia","occidentalis",3,9.951631459
"Temperate (Colorado, USA)","Almont","060210-37","Rosaceae","Amelanchier","utahensis",1,11.90123096
"Temperate (Colorado, USA)","Almont","060210-38","Rosaceae","Amelanchier","utahensis",1,13.87605921
"Temperate (Colorado, USA)","Almont","060210-39","Rosaceae","Amelanchier","utahensis",1,10.4651611
"Temperate (Colorado, USA)","Almont","060210-40","Rosaceae","Amelanchier","utahensis",2,12.4486372
"Temperate (Colorado, USA)","Almont","060210-41","Rosaceae","Amelanchier","utahensis",2,11.97916461
"Temperate (Colorado, USA)","Almont","060210-42","Rosaceae","Amelanchier","utahensis",2,11.19938559
"Temperate (Colorado, USA)","Almont","060210-43","Rosaceae","Amelanchier","utahensis",3,11.26584632
"Temperate (Colorado, USA)","Almont","060210-44","Rosaceae","Amelanchier","utahensis",3,10.29391824
"Temperate (Colorado, USA)","Almont","060210-45","Rosaceae","Amelanchier","utahensis",3,12.21283912
"Temperate (Colorado, USA)","Almont","060210-46","Scrophulariaceae","Castilleja","chromosa",1,10.82143206
"Temperate (Colorado, USA)","Almont","060210-47","Scrophulariaceae","Castilleja","chromosa",1,12.4555612
"Temperate (Colorado, USA)","Almont","060210-49","Scrophulariaceae","Castilleja","chromosa",2,13.25613618
"Temperate (Colorado, USA)","Almont","060210-50","Scrophulariaceae","Castilleja","chromosa",2,9.956280881
"Temperate (Colorado, USA)","Almont","060210-51","Scrophulariaceae","Castilleja","chromosa",2,14.49682171
"Temperate (Colorado, USA)","Almont","060210-52","Scrophulariaceae","Castilleja","chromosa",3,10.7826161
"Temperate (Colorado, USA)","Almont","060210-53","Scrophulariaceae","Castilleja","chromosa",3,15.4852117
"Temperate (Colorado, USA)","Almont","060210-54","Scrophulariaceae","Castilleja","chromosa",3,16.74976177
"Temperate (Colorado, USA)","Crested Butte Land Trust","060710-1","Valerianaceae","Valeriana","occidentalis",1,7.665322567
"Temperate (Colorado, USA)","Crested Butte Land Trust","060710-2","Valerianaceae","Valeriana","occidentalis",1,7.300748145
"Temperate (Colorado, USA)","Crested Butte Land Trust","060710-3","Valerianaceae","Valeriana","occidentalis",1,8.019547726
"Temperate (Colorado, USA)","Crested Butte Land Trust","060710-4","Valerianaceae","Valeriana","occidentalis",2,8.855343607
"Temperate (Colorado, USA)","Crested Butte Land Trust","060710-5","Valerianaceae","Valeriana","occidentalis",2,9.347622921
"Temperate (Colorado, USA)","Crested Butte Land Trust","060710-6","Valerianaceae","Valeriana","occidentalis",2,6.434377
"Temperate (Colorado, USA)","Crested Butte Land Trust","060710-7","Valerianaceae","Valeriana","occidentalis",3,9.106091474
"Temperate (Colorado, USA)","Crested Butte Land Trust","060710-8","Valerianaceae","Valeriana","occidentalis",3,8.552846054
"Temperate (Colorado, USA)","Crested Butte Land Trust","060710-9","Valerianaceae","Valeriana","occidentalis",3,8.099848014
"Temperate (Colorado, USA)","Crested Butte Land Trust","060710-10","Brassicaceae","Thlaspi","montanum",1,10.10635935
"Temperate (Colorado, USA)","Crested Butte Land Trust","060710-11","Brassicaceae","Thlaspi","montanum",1,8.002656078
"Temperate (Colorado, USA)","Crested Butte Land Trust","060710-12","Brassicaceae","Thlaspi","montanum",1,7.871185991
"Temperate (Colorado, USA)","Crested Butte Land Trust","060710-13","Brassicaceae","Thlaspi","montanum",2,10.58251325
"Temperate (Colorado, USA)","Crested Butte Land Trust","060710-14","Brassicaceae","Thlaspi","montanum",2,8.14702101
"Temperate (Colorado, USA)","Crested Butte Land Trust","060710-15","Brassicaceae","Thlaspi","montanum",2,10.39457973
"Temperate (Colorado, USA)","Crested Butte Land Trust","060710-16","Brassicaceae","Thlaspi","montanum",3,8.121362277
"Temperate (Colorado, USA)","Crested Butte Land Trust","060710-17","Brassicaceae","Thlaspi","montanum",3,12.52517727
"Temperate (Colorado, USA)","Crested Butte Land Trust","060710-18","Brassicaceae","Thlaspi","montanum",3,9.408056339
"Temperate (Colorado, USA)","Crested Butte Land Trust","060710-19","Fabaceae","Lupinus","bakeri",1,8.913025964
"Temperate (Colorado, USA)","Crested Butte Land Trust","060710-20","Fabaceae","Lupinus","bakeri",1,6.885768424
"Temperate (Colorado, USA)","Crested Butte Land Trust","060710-21","Fabaceae","Lupinus","bakeri",1,9.874222866
"Temperate (Colorado, USA)","Crested Butte Land Trust","060710-22","Fabaceae","Lupinus","bakeri",2,9.436033708
"Temperate (Colorado, USA)","Crested Butte Land Trust","060710-23","Fabaceae","Lupinus","bakeri",2,9.390116506
"Temperate (Colorado, USA)","Crested Butte Land Trust","060710-24","Fabaceae","Lupinus","bakeri",2,11.74116434
"Temperate (Colorado, USA)","Crested Butte Land Trust","060710-25","Fabaceae","Lupinus","bakeri",3,12.19550316
"Temperate (Colorado, USA)","Crested Butte Land Trust","060710-26","Fabaceae","Lupinus","bakeri",3,11.70696591
"Temperate (Colorado, USA)","Crested Butte Land Trust","060710-27","Fabaceae","Lupinus","bakeri",3,11.11336198
"Temperate (Colorado, USA)","Crested Butte Land Trust","060710-28","Rosaceae","Geum","triflorum",1,11.2063096
"Temperate (Colorado, USA)","Crested Butte Land Trust","060710-29","Rosaceae","Geum","triflorum",1,9.392101313
"Temperate (Colorado, USA)","Crested Butte Land Trust","060710-30","Rosaceae","Geum","triflorum",1,7.161707277
"Temperate (Colorado, USA)","Crested Butte Land Trust","060710-31","Rosaceae","Geum","triflorum",2,10.34197916
"Temperate (Colorado, USA)","Crested Butte Land Trust","060710-32","Rosaceae","Geum","triflorum",2,12.34015249
"Temperate (Colorado, USA)","Crested Butte Land Trust","060710-34","Rosaceae","Geum","triflorum",3,8.959340391
"Temperate (Colorado, USA)","Crested Butte Land Trust","060710-35","Rosaceae","Geum","triflorum",3,11.18571322
"Temperate (Colorado, USA)","Crested Butte Land Trust","060710-36","Rosaceae","Geum","triflorum",3,11.59295796
"Temperate (Colorado, USA)","Crested Butte Land Trust","060710-39","Ranunculaceae","Delphinium","nuttalianum",1,9.255031943
"Temperate (Colorado, USA)","Crested Butte Land Trust","060710-40","Ranunculaceae","Delphinium","nuttalianum",2,9.159032947
"Temperate (Colorado, USA)","Crested Butte Land Trust","060710-42","Ranunculaceae","Delphinium","nuttalianum",2,7.690488141
"Temperate (Colorado, USA)","Crested Butte Land Trust","060710-45","Ranunculaceae","Delphinium","nuttalianum",3,10.2216313
"Temperate (Colorado, USA)","Crested Butte Land Trust","060810-1","Asteraceae","Senecio","integerrimus",1,1.097363384
"Temperate (Colorado, USA)","Crested Butte Land Trust","060810-2","Asteraceae","Senecio","integerrimus",1,4.826924231
"Temperate (Colorado, USA)","Crested Butte Land Trust","060810-3","Asteraceae","Senecio","integerrimus",1,6.208905087
"Temperate (Colorado, USA)","Crested Butte Land Trust","060810-4","Asteraceae","Senecio","integerrimus",2,7.461017516
"Temperate (Colorado, USA)","Crested Butte Land Trust","060810-5","Asteraceae","Senecio","integerrimus",2,6.046105362
"Temperate (Colorado, USA)","Crested Butte Land Trust","060810-6","Asteraceae","Senecio","integerrimus",2,6.798101516
"Temperate (Colorado, USA)","Crested Butte Land Trust","060810-7","Asteraceae","Senecio","integerrimus",3,8.326659424
"Temperate (Colorado, USA)","Crested Butte Land Trust","060810-8","Asteraceae","Senecio","integerrimus",3,9.093710903
