ID	Individual_ID	Individual_code	Locality	Species_name	Zone	SLA	LA	LDMC	Thickness
7	140005	M01-ARQU-01	M01	Ardisia quinquegona	M	11.26397551	1428.165333	423.061931	0.209999998
8	140006	M01-OSMA-01	M01	Osmanthus matsumuranus	M	16.49680293	5331.104333	333.2067003	0.226666667
9	140007	M01-LIAC-01	M01	Litsea acuminata	M	9.850450246	3125.948333	496.5643967	0.37583333
10	140008	M01-MATH-01	M01	Machilus thunbergii	M	8.739729601	840.6933333	491.1072202	0.297000001
11	140009	M01-SCOC-01	M01	Schefflera octophylla	M	10.07596293	5118.473	359.1916972	0.318333335
12	140010	M01-CYLO-01	M01	Cyclobalanopsis longinux	M	9.487615449	729.9706667	538.18283	0.303333337
13	140011	M01-CRCH-01	M01	Cryptocarya chinensis	M	10.65198998	1516.953667	427.1739017	0.286250003
18	140012	Q01-RHLE-01	Q01	Rhododendron leptosanthum	Q	10.01915904	4030.082	403.2488618	0.335000003
19	140013	Q01-ILAR-01	Q01	Illicium arborescens	Q	11.17977829	3251.267667	354.9482307	0.31833333
20	140014	Q01-MICO-01	Q01	Michelia compressa	Q	17.24119904	1903.528667	307.0960563	0.269166668
21	140015	Q01-MATH-01	Q01	Machilus thunbergii	Q	7.604120827	1671.391	529.5833275	0.311666672
22	140016	Q01-SYBU-01	Q01	Syzygium buxifolium	Q	11.70106717	593.7877778	420.1531903	0.29916666
23	140017	M01-HEFO-01	M01	Helicia formosana	M	16.22698744	10732.489	311.4414513	0.27
24	140018	M01-BLCO-02	M01	Blastus cochinchinensis	M	29.23331711	2111.505333	309.2234885	0.215999995
25	140019	M01-CACU-01	M01	Castanopsis cuspidata v. carlesii f. sessilis	M	9.584384191	1581.030333	466.7046702	0.357499999
26	140020	M01-MATH-02	M01	Machilus thunbergii	M	8.470074815	2339.596667	489.641434	0.31
27	140021	M01-MAZU-01	M01	Machilus zuihoensis	M	8.869799362	2640.016333	439.9296478	0.329999996
28	140022	M01-GLRU-01	M01	Glochidion rubrum	M	24.48263607	2574.880333	311.7268523	0.289166664
29	140023	M01-PSRU-01	M01	Psychotria rubra	M	12.65722339	4071.472333	285.0086419	0.315833338
30	140024	M01-ITPA-01	M01	Itea parviflora	M	19.46043786	1567.711	306.3563216	0.256666669
31	140025	M01-LAWA-01	M01	Lasianthus wallichii	M	17.00693201	1857.414333	381.826595	0.496000004
32	140026	Q01-ELJA-01	Q01	Elaeocarpus japonicus	Q	11.32569776	1572.185	416.5624891	0.300833332
33	140027	Q01-SCSU-01	Q01	Schima superba	Q	8.107957228	2728.064	456.1255008	0.337500001
34	140028	Q01-LIUR-01	Q01	Limlia uraiana	Q	7.299704307	949.6883333	476.9003308	0.370000002
35	140029	Q01-CYLO-01	Q01	Cyclobalanopsis longinux	Q	10.04722347	728.1423333	553.0737549	0.242499998
37	140030	Q01-VARA-01	Q01	Vaccinium randaiense	Q	14.12780232	771.6636667	366.0978902	0.245833332
38	140031	Q01-CLJA-01	Q01	Cleyera japonica	Q	5.762492591	2085.991	437.0745639	0.570000003
39	140032	Q01-RHIN-01	Q01	Rhaphiolepis indica v. tashiroi	Q	11.64699667	686.0113333	404.349305	0.315833338
40	140033	Q01-SYBU-02	Q01	Syzygium buxifolium	Q	9.062012976	337.8699167	441.1144591	0.295000004
41	140034	Q01-CLJA-02	Q01	Cleyera japonica v. longicarpa	Q	5.512587221	1277.758	399.9656063	0.648333331
42	140035	Q01-VARA-02	Q01	Vaccinium randaiense	Q	7.50136918	1024.566667	454.7845087	0.380833335
43	140036	Q01-CLJA-03	Q01	Cleyera japonica v. longicarpa	Q	6.722167881	1672.959	432.3386316	0.523333336
46	140037	Q01-ILEX-01	Q01	Ilex species	Q	11.72024665	559.4513333	302.9152022	0.338333338
48	140038	Q01-RHFO-01	Q01	Rhododendron formosanum	Q	5.908715093	4269.701333	460.8216119	0.451666668
49	140039	Q01-MYSE-01	Q01	Myrsine seguinii	Q	10.57089661	3350.932333	364.7540729	0.323333338
50	140040	Q01-ILAR-02	Q01	Illicium arborescens	Q	14.38594942	3081.357667	299.2706617	0.31666667
51	140041	Q01-ILGO-01	Q01	Ilex goshiensis	Q	10.05692461	442.8846667	416.5430742	0.355000002
52	140042	Q01-NEAC-01	Q01	Neolitsea aciculata	Q	13.81106292	1716.949667	499.7853965	0.245000001
53	140043	Q02-MICO-02	Q02	Michelia compressa	Q	9.437739987	912.849	380.6561609	0.351666667
54	140044	Q02-MICO-03	Q02	Michelia compressa	Q	9.806702521	687.8443333	375.3727379	0.338333338
55	140045	Q02-EULO-01	Q02	Eurya loquaiana	Q	16.16622083	681.193	386.1822496	0.220833333
56	140046	Q02-OSMA-01	Q02	Osmanthus matsumuranus	Q	10.78859999	3003.371333	412.2312429	0.309166675
57	140047	Q02-NEAC-02	Q02	Neolitsea aciculata	Q	11.75881675	2144.072333	513.2924462	0.262500002
58	140048	Q02-CYSE-01	Q02	Cyclobalanopsis sessilifolia	Q	7.111301637	2120.276333	494.9673802	0.584166666
59	140049	Q02-PRPH-01	Q02	Prunus phaeosticta	Q	11.45366509	1464.464333	422.8264209	0.296666669
60	140050	Q02-MAZU-01	Q02	Machilus zuihoensis	Q	9.805489739	1758.893667	436.4680185	0.340833334
61	140051	Q02-DEDE-01	Q02	Dendropanax dentiger	Q	16.20463663	3131.469	306.5564652	0.245833334
62	140052	Q02-CYSE-02	Q02	Cyclobalanopsis sessilifolia	Q	8.270163207	1933.137333	442.5703398	0.474999992
