Species	Wet.area.cm2	Dry.area.cm2
Gaiadendron punctatum	13.9851	11.3611
Gaiadendron punctatum	16.5142	14.6719
Gaiadendron punctatum	16.2605	14.4978
Gaiadendron punctatum	18.6357	15.475
Gaiadendron punctatum	20.4581	17.2644
Gaiadendron punctatum	16.8283	14.3741
Gaiadendron punctatum	13.4455	11.3095
Gaiadendron punctatum	13.38	10.8215
Gaiadendron punctatum	16.085	12.8408
Gaiadendron punctatum	14.0865	13.6164
Gaiadendron punctatum	15.448	13.5589
Gaiadendron punctatum	11.8847	9.7097
Gaiadendron punctatum	11.6074	9.2905
Gaiadendron punctatum	7.0049	5.5393
Hypericum irazuense	0.2546	0.1801
Hypericum irazuense	0.2039	0.1671
Hypericum irazuense	0.2057	0.1389
Hypericum irazuense	0.2058	0.1268
Hypericum irazuense	0.2064	0.1332
Hypericum irazuense	0.3303	0.2166
Hypericum irazuense	0.3417	0.191
Hypericum irazuense	0.3531	0.2203
Hypericum irazuense	0.2072	0.1546
Hypericum irazuense	0.2304	0.1467
Hypericum irazuense	0.2036	0.1457
Hypericum irazuense	0.2096	0.1252
Hypericum irazuense	0.165	0.1041
Escallonia myrtilloides	2.3031	1.6977
Escallonia myrtilloides	2.4286	1.8495
Escallonia myrtilloides	2.6823	1.8638
Escallonia myrtilloides	2.3868	1.4617
Escallonia myrtilloides	1.2731	0.9341
Escallonia myrtilloides	1.8291	1.3835
Escallonia myrtilloides	1.6344	1.254
Escallonia myrtilloides	1.5163	1.1286
Escallonia myrtilloides	1.6766	1.2802
Escallonia myrtilloides	1.1466	0.8593
Escallonia myrtilloides	1.5686	1.0936
Escallonia myrtilloides	1.1831	0.7796
Escallonia myrtilloides	2.0135	1.2479
Escallonia myrtilloides	2.2091	1.49
Symplocos serrulata	42.3044	35.0383
Symplocos serrulata	43.3106	36.6634
Symplocos serrulata	30.7452	25.1232
Symplocos serrulata	41.9044	34.8035
Symplocos serrulata	42.6272	35.3661
Garrya laurifolia	14.3438	12.8852
Garrya laurifolia	21.3761	19.2943
Garrya laurifolia	12.8673	11.6568
Garrya laurifolia	7.5079	6.772
Garrya laurifolia	12.5724	12.0049
Garrya laurifolia	27.1404	25.0402
Garrya laurifolia	37.4815	34.4618
Garrya laurifolia	31.9626	29.0566
Garrya laurifolia	21.0612	21.0469
Garrya laurifolia	19.7921	19.6509
Garrya laurifolia	17.2512	17.2071
Garrya laurifolia	18.9343	18.5392
Vaccinium consanguineum	1.406	1.2275
Vaccinium consanguineum	1.4639	1.3569
Vaccinium consanguineum	1.6786	1.5882
Vaccinium consanguineum	2.1903	1.9695
Vaccinium consanguineum	1.5814	1.4379
Vaccinium consanguineum	2.0571	1.9254
Vaccinium consanguineum	2.1252	1.9076
Vaccinium consanguineum	1.988	1.8331
Vaccinium consanguineum	1.8894	1.7148
Vaccinium consanguineum	1.7978	1.642
Vaccinium consanguineum	2.022	1.9234
Vaccinium consanguineum	2.0952	1.9428
Vaccinium consanguineum	1.7062	1.5839
Vaccinium consanguineum	2.2242	2.0014
Vaccinium consanguineum	2.3721	2.1178
Viburnum costaricanum	5.7183	5.231
Viburnum costaricanum	6.3768	5.7223
Viburnum costaricanum	4.6999	4.2907
Viburnum costaricanum	3.7029	3.4044
Viburnum costaricanum	4.6616	4.3006
Viburnum costaricanum	15.4681	14.3996
Viburnum costaricanum	18.1809	16.5618
Viburnum costaricanum	10.757	9.7511
Viburnum costaricanum	11.7739	10.8222
Viburnum costaricanum	14.4089	13.2433
Myrsine dependens	2.0163	1.9466
Myrsine dependens	2.9431	2.8247
Myrsine dependens	3.0173	2.8234
Myrsine dependens	3.2487	3.1099
Myrsine dependens	1.9606	1.9043
Myrsine dependens	1.8739	1.6442
Myrsine dependens	0.8241	0.7327
Myrsine dependens	1.225	1.1164
Myrsine dependens	0.6732	0.6239
Myrsine dependens	1.3404	1.1976
Myrsine dependens	1.5634	1.3968
Myrsine dependens	2.0271	1.785
Myrsine dependens	2.3512	2.1046
Myrsine dependens	1.8561	1.6458
Myrsine dependens	1.9029	1.806
Quercus costaricensis	17.3418	17.1189
Quercus costaricensis	20.0107	19.2723
Quercus costaricensis	8.8297	8.6975
Quercus costaricensis	16.0323	15.4182
Quercus costaricensis	21.732	20.9385
Quercus costaricensis	50.4354	48.3348
Quercus costaricensis	33.0882	32.4568
Quercus costaricensis	29.4756	28.1864
Quercus costaricensis	30.7189	29.1374
Quercus costaricensis	42.4038	39.6143
Quercus costaricensis	27.1142	25.8002
Quercus costaricensis	25.3726	24.047
Quercus costaricensis	32.4379	31.3164
Quercus costaricensis	25.4605	23.5793
Miconia schnellii	24.2046	19.9536
Miconia schnellii	21.7816	16.9139
Miconia schnellii	25.8817	21.3018
Miconia schnellii	30.4399	24.6878
Miconia schnellii	26.6964	21.7043
Miconia schnellii	16.558	10.1134
Miconia schnellii	10.9681	8.8396
Miconia schnellii	17.6805	11.0129
Miconia schnellii	14.201	12.8375
Comarostaphylis arbutoides	8.62	8.2556
Comarostaphylis arbutoides	8.8601	8.547
Comarostaphylis arbutoides	8.4393	8.1182
Comarostaphylis arbutoides	7.7125	7.4247
Comarostaphylis arbutoides	7.0581	6.8888
Comarostaphylis arbutoides	13.3932	12.4616
Comarostaphylis arbutoides	11.5137	10.9355
Comarostaphylis arbutoides	7.0624	6.6443
Comarostaphylis arbutoides	10.6817	9.9565
Comarostaphylis arbutoides	8.5597	7.5661
Comarostaphylis arbutoides	15.7346	14.1498
Comarostaphylis arbutoides	16.082	14.9929
Comarostaphylis arbutoides	17.7542	16.0636
Comarostaphylis arbutoides	10.096	9.5036
Comarostaphylis arbutoides	8.6496	8.212
Schefflera rodriguesiana	40.3353	34.5846
Schefflera rodriguesiana	40.5852	34.9175
Schefflera rodriguesiana	17.3504	15.4667
Schefflera rodriguesiana	31.2182	28.4844
Schefflera rodriguesiana	31.9979	28.9925
Schefflera rodriguesiana	7.8411	7.2031
Schefflera rodriguesiana	6.8062	6.1472
Schefflera rodriguesiana	5.5462	4.9693
Schefflera rodriguesiana	7.3188	6.6833
Schefflera rodriguesiana	7.0716	6.3329
Buddleja nitida	13.5949	12.9466
Buddleja nitida	16.2682	15.6769
Buddleja nitida	11.316	11.2862
Buddleja nitida	5.0244	4.9438
Buddleja nitida	5.6391	5.269
Buddleja nitida	8.9079	8.3317
Buddleja nitida	2.2761	2.1765
Buddleja nitida	5.8911	5.4082
Buddleja nitida	9.4482	8.8161
Buddleja nitida	8.3507	7.7973
Buddleja nitida	13.2486	12.6843
Buddleja nitida	16.0195	15.4358
Buddleja nitida	16.3471	15.3839
Buddleja nitida	17.1624	16.5879
Buddleja nitida	9.355	8.9889
Clethra gelida	27.9812	20.8959
Clethra gelida	13.1952	12.778
Clethra gelida	30.8145	28.9607
Clethra gelida	18.8329	17.5988
Clethra gelida	20.9112	19.9471
Clethra gelida	27.3812	25.3473
Clethra gelida	25.0351	23.0303
Clethra gelida	25.2966	23.9134
Clethra gelida	24.0813	22.0792
Clethra gelida	24.6508	21.1423
Clethra gelida	24.8288	22.8837
Clethra gelida	26.0812	24.2888
Clethra gelida	24.9253	22.5676
Clethra gelida	35.0488	31.6031
Clethra gelida	36.8928	32.9262
Weinmannia pinnata	8.6006	7.4957
Weinmannia pinnata	7.0155	6.3646
Weinmannia pinnata	11.1343	10.0897
Weinmannia pinnata	12.3701	11.1519
Weinmannia pinnata	5.726	5.1368
Weinmannia pinnata	8.7927	7.8023
Weinmannia pinnata	5.8259	5.0351
Weinmannia pinnata	5.7221	5.0854
Weinmannia pinnata	6.6728	5.848
Weinmannia pinnata	3.5196	3.1559
Weinmannia pinnata	4.3248	3.8777
Weinmannia pinnata	3.9593	3.5004
Weinmannia pinnata	4.0039	3.5226
Weinmannia pinnata	3.9965	3.5529
Weinmannia pinnata	4.0385	3.5535
Rhamnus oreodendron	15.3081	13.2247
Rhamnus oreodendron	24.554	21.6656
Rhamnus oreodendron	26.3229	23.0043
Rhamnus oreodendron	25.9586	22.1833
Rhamnus oreodendron	26.0414	22.6709
Rhamnus oreodendron	20.0007	16.9859
Rhamnus oreodendron	17.9663	15.3317
Rhamnus oreodendron	26.1634	21.3106
Rhamnus oreodendron	18.7575	15.9729
Rhamnus oreodendron	18.6903	15.5344
Rhamnus oreodendron	63.3766	54.5023
Rhamnus oreodendron	55.6848	47.7755
Rhamnus oreodendron	39.1377	34.4742
Rhamnus oreodendron	26.2012	22.3691
Rhamnus oreodendron	26.3453	23.6218
Oreopanax xalapensis	31.6655	29.0425
Oreopanax xalapensis	55.1256	42.6808
Oreopanax xalapensis	39.8629	37.1329
Oreopanax xalapensis	34.1454	31.7923
Oreopanax xalapensis	51.8448	43.4106
Myrrhidendron donnellsmithii	12.5459	10.2112
Myrrhidendron donnellsmithii	15.3381	12.2197
Myrrhidendron donnellsmithii	9.3368	7.7777
Myrrhidendron donnellsmithii	10.4696	8.4102
Myrrhidendron donnellsmithii	14.1631	11.3249
Miconia talamancensis	15.7264	12.329
Miconia talamancensis	19.8968	15.4879
Miconia talamancensis	7.8537	5.6312
Miconia talamancensis	28.5133	21.961
Miconia talamancensis	7.0824	5.3689
Miconia talamancensis	18.0587	13.8509
Miconia talamancensis	25.3669	19.9623
Miconia talamancensis	22.944	18.306
Miconia talamancensis	25.0531	19.391
Miconia talamancensis	24.5055	20.2317
Miconia talamancensis	12.4805	9.7759
Miconia talamancensis	19.1987	14.6342
Miconia talamancensis	13.9924	10.2681
Miconia talamancensis	26.2964	19.2985
Drimys granadensis	26.0561	23.7119
Drimys granadensis	26.0211	24.1413
Drimys granadensis	28.1346	26.7751
Drimys granadensis	28.0059	25.9006
Drimys granadensis	20.3848	19.6416
Drimys granadensis	17.3332	16.3745
Drimys granadensis	28.1204	26.299
Drimys granadensis	21.3379	19.8404
Drimys granadensis	25.5855	24.4357
Hesperomeles heterophylla	5.905	5.8274
Hesperomeles heterophylla	5.5334	5.4857
Hesperomeles heterophylla	4.4033	4.3887
Hesperomeles heterophylla	5.273	5.1958
Maytenus woodsonii	17.2408	16.1772
Maytenus woodsonii	17.4797	16.2515
Maytenus woodsonii	18.1897	16.957
Maytenus woodsonii	25.6298	24.2106
Maytenus woodsonii	24.4353	22.8116
Maytenus woodsonii	39.8142	35.6107
Maytenus woodsonii	4.459	3.9632
Maytenus woodsonii	7.352	6.3581
Maytenus woodsonii	24.9437	21.325
Maytenus woodsonii	28.707	25.9334
Maytenus woodsonii	17.8527	17.1645
Maytenus woodsonii	21.3711	19.8958
Maytenus woodsonii	29.8736	28.3518
Maytenus woodsonii	36.0041	34.3599
Maytenus woodsonii	38.5766	36.9181
Ugni myricoides	1.8682	1.4734
Ugni myricoides	1.5875	1.265
Ugni myricoides	1.3825	1.2575
Ugni myricoides	1.4322	1.1528
Ugni myricoides	1.5953	1.2789
Ugni myricoides	1.3505	1.2668
Ugni myricoides	0.6789	0.5548
Ugni myricoides	0.7563	0.6851
Ugni myricoides	0.6352	0.5596
Ugni myricoides	0.9644	0.8283
Macleania rupestris	28.5388	26.3555
Macleania rupestris	19.0801	17.6933
Macleania rupestris	32.207	29.5905
Macleania rupestris	44.3367	42.5154
Macleania rupestris	47.5822	46.4074
Macleania rupestris	56.0923	54.0609
Macleania rupestris	40.9909	39.3507
Macleania rupestris	44.9152	43.0505
Macleania rupestris	19.9735	19.4368
Macleania rupestris	35.6994	34.2345
Macleania rupestris	17.5567	17.081
Diplostephium costaricense	3.4691	3.1946
Diplostephium costaricense	3.2604	2.839
Diplostephium costaricense	3.3213	2.7928
Diplostephium costaricense	3.7184	3.2847
Diplostephium costaricense	2.8392	2.592
Diplostephium costaricense	2.2188	1.9237
Diplostephium costaricense	2.1059	1.7379
Diplostephium costaricense	2.3972	2.1297
Diplostephium costaricense	1.6571	0.9836
Diplostephium costaricense	2.3875	2.1037
Diplostephium costaricense	4.2277	3.7424
Diplostephium costaricense	4.5683	3.999
Diplostephium costaricense	1.7726	1.5148
Diplostephium costaricense	2.6074	2.2366
Diplostephium costaricense	3.0484	2.5842
Viburnum venustum	27.3896	25.3737
Viburnum venustum	32.3718	29.5398
Viburnum venustum	22.5184	20.5931
Viburnum venustum	14.0636	12.0874
Viburnum venustum	8.624	7.6365
Ruagea glabra	45.7684	36.6389
Ruagea glabra	45.5492	37.8665
Ruagea glabra	41.9735	37.028
Ruagea glabra	59.6104	52.0765
Ruagea glabra	48.4309	41.7732
Nectandra umbrosa	43.0628	40.7844
Nectandra umbrosa	19.7405	18.9813
Nectandra umbrosa	23.2033	22.2149
Nectandra umbrosa	38.969	36.9933
Nectandra umbrosa	47.1942	44.8987
Aspidosperma desmanthum	136.2307	128.9096
Aspidosperma desmanthum	156.6428	146.4604
Aspidosperma desmanthum	167.5125	158.8144
Aspidosperma desmanthum	161.5754	150.3905
Mouriri gleasoniana	25.6691	22.2808
Mouriri gleasoniana	30.1149	25.8999
Mouriri gleasoniana	31.5483	26.6972
Mouriri gleasoniana	19.8437	17.3094
Mouriri gleasoniana	24.8458	21.9399
Nectandra umbrosa	26.1025	24.4717
Nectandra umbrosa	38.4343	35.4729
Nectandra umbrosa	29.8012	27.8266
Nectandra umbrosa	30.8878	28.8323
Nectandra umbrosa	39.8039	37.3151
Erythroxylum macrophyllum	23.771	22.1797
Erythroxylum macrophyllum	20.2103	19.0089
Erythroxylum macrophyllum	18.0884	16.7909
Erythroxylum macrophyllum	23.9957	23.1511
Erythroxylum macrophyllum	17.2046	16.2575
Calophyllum longifolium	50.153	43.1328
Clitoria javitensis	39.0369	33.5358
Clitoria javitensis	56.5235	50.8775
Clitoria javitensis	58.2634	52.4697
Clitoria javitensis	48.5769	42.7294
Simarouba amara	34.5176	32.8887
Simarouba amara	20.2909	19.1423
Simarouba amara	15.2446	14.36
Simarouba amara	13.4896	12.6471
Simarouba amara	28.8637	27.4338
Simarouba amara	58.9715	55.1264
Simarouba amara	27.1331	25.7244
Simarouba amara	59.7865	54.7223
Simarouba amara	48.9673	45.1702
Simarouba amara	21.9752	20.4783
Callicarpa acuminata	81.0755	67.1644
Callicarpa acuminata	75.9601	63.3911
Callicarpa acuminata	74.5709	62.2238
Callicarpa acuminata	24.5962	20.301
Lacistema aggregatum	21.8915	18.895
Lacistema aggregatum	31.6644	27.2464
Lacistema aggregatum	27.4056	23.7109
Lacistema aggregatum	27.9184	24.6186
Lacistema aggregatum	36.7004	31.1075
Erythroxylum macrophyllum	17.0228	16.0887
Erythroxylum macrophyllum	14.5873	13.0699
Erythroxylum macrophyllum	10.3531	9.4997
Erythroxylum macrophyllum	7.9664	7.5661
Erythroxylum macrophyllum	14.4336	13.679
Callichlamys latifolia	44.8223	42.6807
Callichlamys latifolia	32.5111	31.2936
Callichlamys latifolia	42.9606	40.7653
Callichlamys latifolia	27.3196	25.9643
Callichlamys latifolia	29.4431	28.2287
Davilla nitida	37.6328	33.6292
Davilla nitida	51.3353	46.4676
Davilla nitida	31.1503	27.8575
Davilla nitida	26.3713	23.3309
Davilla nitida	62.7485	56.4086
Nectandra umbrosa	44.3811	41.4028
Nectandra umbrosa	35.3189	32.7435
Nectandra umbrosa	63.1138	59.0106
Nectandra umbrosa	39.9273	37.8027
Nectandra umbrosa	49.2703	47.2173
Nectandra umbrosa	45.0165	41.0995
Nectandra umbrosa	54.1246	49.8846
Nectandra umbrosa	31.3175	28.5057
Nectandra umbrosa	49.871	47.0295
Oxandra venezuelana	26.7334	25.6278
Oxandra venezuelana	26.2573	25.268
Oxandra venezuelana	23.3641	22.5742
Oxandra venezuelana	22.7931	22.4241
Oxandra venezuelana	24.245	23.5748
Eugenia acapulcensis	49.3152	42.7789
Eugenia acapulcensis	29.9248	24.9377
Eugenia acapulcensis	70.3185	57.2514
Eugenia acapulcensis	47.7911	42.0434
Aspidosperma desmanthum	164.6421	112.67
Aspidosperma desmanthum	134.3832	129.9076
Aspidosperma desmanthum	70.7056	67.609
Nectandra umbrosa	32.8513	30.3631
Nectandra umbrosa	26.3015	24.6771
Nectandra umbrosa	31.1961	20.5433
Nectandra umbrosa	31.317	28.8942
Nectandra umbrosa	83.918	62.9232
Swartzia ochnacea	74.5563	68.812
Swartzia ochnacea	71.1708	66.1814
Swartzia ochnacea	81.3909	73.7596
Swartzia ochnacea	108.736	100.2767
Swartzia ochnacea	60.5368	55.3258
Chomelia microloba	21.6312	19.3065
Chomelia microloba	24.8849	22.5354
Mouriri gleasoniana	18.2525	15.7985
Mouriri gleasoniana	19.8235	16.6301
Mouriri gleasoniana	36.5273	31.2233
Mouriri gleasoniana	40.2844	34.283
Mouriri gleasoniana	34.0599	28.3132
Lacistema aggregatum	41.4144	28.7774
Lacistema aggregatum	39.2104	30.5407
Lacistema aggregatum	28.4039	23.2448
Lacistema aggregatum	33.0785	24.4453
Oxandra venezuelana	32.8603	30.865
Oxandra venezuelana	23.6987	22.4068
Oxandra venezuelana	24.5841	23.0863
Oxandra venezuelana	19.3943	18.0752
Oxandra venezuelana	28.1448	26.2683
Eschweilera hondurensis	51.1292	49.0094
Eschweilera hondurensis	30.3117	28.861
Eschweilera hondurensis	43.5632	42.1465
Eschweilera hondurensis	33.0712	31.016
Eschweilera hondurensis	33.2945	30.9155
Arrabidaea sp3	6.5028	5.9695
Arrabidaea sp4	7.8471	7.3066
Arrabidaea sp5	27.3096	25.5987
Arrabidaea sp6	13.8446	13.0409
Arrabidaea sp7	17.6828	16.4967
Inga punctata	26.8362	25.3255
Inga punctata	39.448	37.1474
Inga punctata	40.4435	38.4158
Inga punctata	38.8889	36.7998
Inga punctata	34.4603	31.1987
Inga punctata	79.8224	71.0227
Inga punctata	29.6196	26.8733
Inga punctata	28.5268	25.2828
Inga punctata	39.1925	35.2325
Inga punctata	69.662	62.2177
Pouteria chiricana	54.0376	51.1195
Pouteria chiricana	53.9135	39.9722
Pouteria chiricana	42.6548	40.427
Pouteria chiricana	25.224	23.773
Pouteria chiricana	37.345	35.112
Machaerium kegelii	74.9453	69.0725
Machaerium kegelii	57.3136	53.0127
Machaerium kegelii	76.0811	70.4059
Machaerium kegelii	63.6118	59.2041
Machaerium kegelii	65.9999	60.8553
Ocotea paradoxa	52.357	50.481
Ocotea paradoxa	35.0282	33.2239
Ocotea paradoxa	32.5601	30.9685
Ocotea paradoxa	52.0172	49.7033
Ocotea paradoxa	34.2359	33.0748
Callichlamys latifolia	26.1467	24.6839
Callichlamys latifolia	30.9326	29.9498
Callichlamys latifolia	46.3608	43.9885
Callichlamys latifolia	21.5618	20.3131
Callichlamys latifolia	35.1618	32.8051
Ruagea glabra	52.3222	43.0603
Ruagea glabra	89.357	64.0046
Ruagea glabra	99.2801	80.0742
Ruagea glabra	57.9011	48.1059
Ruagea glabra	60.037	47.649
Inga multijuga	39.2024	35.8199
Inga multijuga	62.9316	56.2447
Inga multijuga	64.6885	56.6957
